87345851-086f-4e1f-9148-52771ea230d4,Protein shake (ready-to-drink),protein_shake_ready_to_drink.png,2025-09-24 19:35:46.868228 +00:00,1,null,null,200,0,0,3.00,5.00,25.00,150,325.0,false,bottle protein shake,null,false,bottles protein shake,false,cbcfd036-127c-43fb-88d5-34a9d9ba5db4,"Ready to drink, prefect for after workout.",bottle,1 bottle = 11 fl oz (325 ml),false,false,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
e7d229dd-adb0-4862-b913-c23ddd345e91,Orange juice,orange_juice.png,2025-08-19 17:17:02.105068 +00:00,1,2,10,0,0,0,0.00,26.00,2.00,112,240.0,false,cup orange juice,15,false,cups orange juice,false,f2a8c4e1-7d82-4d9b-8b79-9a03e7b4a6c1,Fruit juice carbs post- or pre-workout.,cup,null,false,false,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
058cdc7c-d41f-4276-a9fd-b725d7ab8137,Peanut butter,peanut_butter.png,2025-09-24 19:58:15.117129 +00:00,1,null,null,75,0,0,8.00,3.50,4.00,95,0.0,false,tablespoon of peanut butter ,null,false,tablespoons of peanut butter ,false,76c16c67-1746-47d7-adea-e5fc9dcd1f4d,null,tablespoon,null,false,false,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
2d0a8b80-4c4e-45fb-83fa-85f074c98055,Pretzels (salted minis),pretzels.png,2025-09-02 21:32:03.578154 +00:00,1,2,3,350,0,50,1.00,23.00,2.00,110,0.0,false,serving pretzels (salted minis),8,false,servings pretzels (salted minis),false,f2a8c4e1-7d82-4d9b-8b79-9a03e7b4a6c1,"Crunchy, salty carbs for quick energy.",serving,1 serving = 1 oz (28 g),false,false,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
9fd63557-c41b-4fc6-a7f5-884582c282ed,Electrolyte tablet (electrolyte-only),electrolyte_tablet.png,2025-09-02 21:32:03.578154 +00:00,1,2,3,300,0,150,0.00,0.00,0.00,0,0.0,false,electrolyte tablet,2,true,electrolyte tablets,false,a1e2c3d4-b5a6-4c7d-8e9f-0a1b2c3d4e5f,Dissolving tablet for electrolytes only.,tablet,null,false,false,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
92a116e8-61f4-4a4f-b8b6-5954757a3f18,Fig bar,fig_bar.png,2025-09-24 20:00:32.874837 +00:00,1,null,null,120,0,0,6.00,38.00,3.00,200,0.0,false,twin-pack fig bar,null,false,twin-packs fig bar,false,8f4f2c73-9a65-4d5a-b3be-9d5f9e2a1c2d,null,twin-pack,null,false,false,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
c02c4b94-ef83-4fb5-998f-ab46299e3b12,Protein bar,protein_bar.png,2025-08-19 17:17:02.105068 +00:00,1,1,3,0,0,0,8.00,25.00,20.00,252,null,true,protein bar,3,false,protein bars,false,d4c3b2a1-6e5d-4c3b-8a9f-1e2d3c4b5a6f,High-protein snack bar.,bar,null,false,true,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
c5e0fb33-50e8-426c-98aa-1a2fc24ae388,Toast,toast.png,2025-09-24 19:40:39.891167 +00:00,1,null,null,150,null,null,1.00,17.00,3.00,90,0.0,true,slice of toast,null,false,slices of toast,false,f2a8c4e1-7d82-4d9b-8b79-9a03e7b4a6c1,null,slice,,false,true,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
d18f3c8a-1dfd-494b-a3bd-6a817fe6cace,Coconut water,coconut_water.png,2025-08-19 17:17:02.105068 +00:00,1,2,10,0,0,600,0.00,9.00,2.00,44,236.6,false,cup coconut water,15,true,cups coconut water,false,a1e2c3d4-b5a6-4c7d-8e9f-0a1b2c3d4e5f,Naturally sweet hydration with potassium.,cup,null,false,false,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
e5a24d1a-51f0-4e66-8786-51e2a127d01a,Energy chews,energy_chews.png,2025-08-19 17:17:02.105068 +00:00,1,null,6,108,0,0,0.00,24.00,0.00,108,null,true,package energy chews,null,false,packages energy chews,false,3b5d6f2e-3d3a-4b6a-9e3b-5c7a1f0d7a10,Generic chewable carbs.,package,null,false,true,null,true,true,false,false,false,false,false,null,null,null,null,null,null,null,null,null
