8a847f4f-8c26-41ef-a1e2-132b404be95e,gel,Gel,Gels,10,2025-09-19 16:24:50.006280 +00:00
fc915f1b-d541-45fa-ae5c-695ee41073db,chew,Chew,Chews,20,2025-09-19 16:24:50.006280 +00:00
d3908cb2-a21d-4ef1-8d33-c999d29eefcc,drink_mix,Drink mix,Drink mixes,30,2025-09-19 16:24:50.006280 +00:00
09930546-1942-485e-9728-bced1cf933a2,electrolyte_only,Electrolyte-only,Electrolyte-only,40,2025-09-19 16:24:50.006280 +00:00
b27bc986-1402-4e20-b022-a65b5ffbd4d2,sports_drink,Sports drink,Sports drinks,50,2025-09-19 16:24:50.006280 +00:00
6102eea1-2dfe-44cf-8863-b258c27262ef,bar,Bar,Bars,60,2025-09-19 16:24:50.006280 +00:00
666408c5-6d5b-4fc6-bda3-d6428e8362b9,waffle,Waffle,Waffles,70,2025-09-19 16:24:50.006280 +00:00
52a0ff7c-a0f5-4e26-b409-2a7ce3298f4d,capsule,Capsule,Capsules,80,2025-09-19 16:24:50.006280 +00:00
76c16c67-1746-47d7-adea-e5fc9dcd1f4d,real_food,Real food,Real foods,90,2025-09-19 16:24:50.006280 +00:00
cbcfd036-127c-43fb-88d5-34a9d9ba5db4,recovery_shake,Recovery shake,Recovery shakes,100,2025-09-19 16:24:50.006280 +00:00
3b5d6f2e-3d3a-4b6a-9e3b-5c7a1f0d7a10,quick_carbs,Quick carb,Quick carbs,10,2025-09-19 21:37:47.189896 +00:00
8f4f2c73-9a65-4d5a-b3be-9d5f9e2a1c2d,solid_carb_snacks,Solid carb snack,Solid carb snacks,20,2025-09-19 21:37:47.189896 +00:00
f2a8c4e1-7d82-4d9b-8b79-9a03e7b4a6c1,real_food_carbs,Real-food carb,Real-food carbs,30,2025-09-19 21:37:47.189896 +00:00
c7e2a1d4-5b6c-4f9d-8e2a-1a7c9b3e5d2f,hydration_with_carbs,Hydration with carbs,Hydration with carbs,40,2025-09-19 21:37:47.189896 +00:00
a1e2c3d4-b5a6-4c7d-8e9f-0a1b2c3d4e5f,electrolytes_fluids,Electrolytes & fluids,Electrolytes & fluids,50,2025-09-19 21:37:47.189896 +00:00
d4c3b2a1-6e5d-4c3b-8a9f-1e2d3c4b5a6f,protein_recovery,Protein & recovery,Protein & recovery,60,2025-09-19 21:37:47.189896 +00:00
cdd6a8f1-750c-4c78-93f7-ab706285ac7b,import,Imported,Imported,null,2025-09-24 19:55:37.172213 +00:00
